,latency,time
41877270,152838,99935189414
41920985,152587,79407845314
41932336,152513,41590553488
42081037,151638,24539165775
42151347,151225,19365713175
42218632,150825,29377576701
42268241,150537,109433678065
42269690,150525,85424927289
42274578,150500,127262603715
42287317,150425,145712052103
42330679,150162,56325082714
42349154,150050,87423509402
42485998,149237,145475753328
42518535,149038,157810205065
42562150,148775,92868668077
42772711,147500,105439806827
42899445,146725,88447108114
42974346,146263,47395543663
43032094,145913,131806175527
43074986,145650,43667185726
43121558,145363,61404258176
43129353,145325,157488220390
43362969,143887,152654846403
43448449,143350,73413571501
43471069,143212,102407514302
43482078,143138,107535630452
43503104,143012,79767877364
43518676,142913,145314058240
43611396,142337,11030034613
43670035,141975,109441426727
43683526,141888,121447403052
43696678,141812,115440195240
43849205,140850,7348869863
43914362,140450,146582343240
43982416,140025,133457725552
44107424,139237,37254692351
44109645,139225,121458949602
44110542,139213,61402956676
44116822,139175,49402312926
44151987,138962,145468845378
44196199,138675,1863523213
44286750,138112,107439006340
44402554,137387,162575987741
44470371,136950,35376884638
44519279,136650,111439645227
44531412,136575,141466160353
44543305,136500,133465684440
44719904,135375,23748026063
44844693,134588,152461575915
44852746,134537,9902964438
44994993,133638,55396679026
45022844,133463,73412097376
45165764,132563,13356103600
45299026,131725,57399659364
45353983,131387,142133665353
45416294,130988,84131824639
45478186,130600,62960108589
45501402,130462,153478640653
45580870,129962,151481823678
45585095,129925,16333351638
45598981,129838,43392197313
45674591,129375,159478639990
45843396,128313,105584658764
45976645,127487,144947419503
46026662,127163,3471802425
46147288,126413,91429409464
46314745,125375,117620528477
46363436,125063,12125130950
46425774,124687,88163972402
46440515,124588,51393129963
46467176,124425,51704064026
46496610,124250,140988124153
46572165,123775,49387743313
46698833,123000,147478184928
46820362,122250,88677880814
46853983,122038,42022176038
46871327,121937,32488021151
46873858,121925,135302909215
46881596,121875,113449919977
46921892,121625,66175226439
47037166,120925,135777695065
47040240,120900,47387574726
47061389,120775,91282806514
47298956,119337,103996405852
47311679,119262,151476022953
47328606,119150,24377051100
47337966,119100,109575513390
47354457,119000,93427425452
47449341,118425,23371842475
47507656,118075,50760570563
47656617,117188,151378117515
47736913,116712,128872893890
47916027,115650,107971663802
47989963,115213,138437075115
48052367,114850,138162285303
48251398,113687,72606760314
48258207,113650,133458803740
48313990,113325,91894483677
48377038,112962,38841587826
48427048,112675,49967210176
48682607,111225,53025162901
48727976,110975,98328098102
48849029,110300,94567126702
48871197,110175,93426538039
48938488,109800,73451056414
48984723,109550,137364085490
48986169,109538,162633657878
49049490,109188,95111278964
49075692,109050,143342607365
49086213,108987,13414111913
49102797,108900,129420644965
49104357,108888,147697712065
49208963,108325,156203153253
49213266,108300,133695078815
49265198,108013,40453051038
49276715,107950,12494340888
49360319,107500,6771275775
49490014,106825,151669386415
49517283,106675,61690108526
49738146,105525,2195820525
49923630,104587,8290625488
49947244,104475,149282333903
49959385,104412,106361512127
49986094,104275,111445331227
50009360,104162,132087828865
50164036,103388,68156049901
50242879,103000,25980026738
50709119,100775,27591315463
50721342,100725,117504045752
50835455,100200,104758143389
50971995,99575,68955482514
51142660,98813,67778200851
51181747,98650,154595515965
51261547,98300,135386639228
51323035,98025,46878904826
51368169,97837,77775586139
51718906,96375,141734470428
51735319,96300,33090423301
51795413,96062,69390457364
51814860,95987,147489459828
51951999,95437,134907779803
51956805,95413,143723477565
51988608,95288,163399564928
52000229,95238,51393180363
52161065,94612,14783611913
52193705,94487,19549907688
52319438,94012,80645759577
52322449,94000,111184572877
52379649,93787,144191433703
52453012,93512,128981500915
52493132,93362,108170742465
52505872,93312,38811195701
52706858,92575,91363704614
52855201,92050,151395286253
52910825,91850,104970313577
53043770,91387,76161196589
53108173,91162,8122507063
53122130,91113,112441638027
53174392,90937,41227271476
53249029,90687,99368566552
53434199,90063,35629580013
53621361,89462,72157044489
53761642,89012,28138773351
54015513,88225,145790824903
54019168,88212,92163608877
54210256,87625,35665613501
54242545,87537,151437648728
54274262,87437,8454711838
54287593,87400,120180309852
54332728,87263,155641964465
54401767,87062,62308164889
54414338,87025,104021646189
54557151,86612,91433158402
54607979,86462,10206237588
54653475,86337,133766972790
54749175,86062,36141030026
54829054,85837,30744319076
54845469,85788,96969191239
54863050,85738,77707435501
54932716,85550,93506422939
55030451,85275,16128310763
55058258,85200,30537925851
55098062,85100,142151195415
55156492,84937,23314406988
55478449,84075,22157257938
55521505,83963,28886699663
55541577,83913,84927970639
55639549,83662,42543125001
55649187,83637,31693356426
55869388,83075,66019765101
55935496,82912,61751943689
56016401,82712,96720322227
56020285,82700,94868712939
56054474,82613,114325039852
56081565,82550,123066551040
56147182,82387,48146190201
56178022,82312,64955604314
56280347,82062,5631263063
56378892,81825,90290085252
56447254,81662,19329809188
56549017,81425,140291701315
56612050,81275,114316089977
56634364,81225,134585123153
56714626,81037,118895002290
56833963,80762,125657085990
56894748,80613,25082746800
56920288,80562,76562698589
56930753,80537,39638217226
57042240,80287,145206746303
57333034,79637,58596073764
57387507,79513,105163704114
57462814,79350,79360290501
57475217,79325,101771381564
57498991,79275,108594300427
57538570,79187,10315787438
57569958,79125,163510691891
57630019,78988,108972972552
57655179,78937,32938678226
57690786,78862,57751043514
57741425,78750,70845624564
57745968,78738,69757576026
57780130,78663,6688596350
57788632,78650,69698984264
57855952,78512,84571246727
58044419,78113,98300370039
58056377,78088,93721687264
58138458,77925,148161630590
58210378,77775,109741453027
58220252,77750,51347569826
58295091,77600,90286913039
58322554,77538,30804394713
58378032,77425,17741396375
58408094,77375,161219405103
58485885,77212,18528025538
58658326,76863,19356331575
58741856,76700,44532476438
58783289,76625,131007455465
58787737,76613,161796864003
58793365,76600,61353732864
59018847,76162,48377237701
59125171,75950,22795411200
59306304,75612,109773799115
59319632,75587,114577323115
59458509,75325,143389466990
59518706,75212,149772391803
59644791,74975,101297945677
59667510,74925,7322464375
59712011,74850,119229458890
59982112,74350,72214328164
60016283,74288,130335035977
60063051,74200,29660372776
60065387,74200,87360588702
60076297,74175,15328210750
60094522,74150,129783692390
60173988,74000,58137801501
60178955,73988,22536788475
60204011,73950,113172285827
60317794,73750,161026770790
60353636,73675,11325817225
60469318,73475,82734697514
60484973,73450,116151408002
60500819,73425,157790332090
60505048,73412,16928163413
60506332,73412,79018150264
60520850,73387,112026428065
60622677,73200,54547166751
60672540,73113,93767103864
60719424,73037,106306486027
61052978,72450,19595636663
61067286,72425,15885008375
61084012,72400,61092412926
61101413,72375,122443747002
61104247,72363,37740821963
61112876,72350,47963374763
61118838,72338,32138022788
61152962,72287,92015516327
61171561,72250,54885045064
61321264,72000,119379649552
61374192,71912,128045697240
61450617,71775,40942808176
61481942,71725,77161330226
61532341,71638,77426877226
61574709,71575,136908475878
61648092,71450,98569043839
61676535,71400,68556009839
61717279,71337,128182045040
61755767,71263,3339701350
61951530,70950,124615409627
61964299,70925,70555659026
61995039,70875,74277481639
62003797,70862,27026816451
62026395,70825,86443695564
62029866,70825,160997905828
62109084,70688,104170663714
62229084,70488,21451255125
62232146,70488,152194596515
62347329,70300,45745391713
62354117,70288,58255838151
62452959,70137,157795198728
62542626,69988,144060803815
62600244,69900,132184898515
62792702,69588,110880816752
62822849,69538,41742665688
62936085,69362,29195760176
63057462,69175,125754527115
63157736,69013,121179456652
63180507,68975,37237375926
63314623,68775,140626053053
63407557,68625,66265548014
63483750,68512,103371191452
63546384,68412,1028706688
63611169,68313,164241613978
63623527,68288,5076410150
63686356,68200,118580857627
63701108,68175,87999908214
63721258,68150,162361373828
63939897,67812,38170379176
64073309,67612,80960623552
64104465,67563,154594006265
64140789,67512,117745762990
64226948,67375,53684100051
64381588,67150,130476267852
64522117,66937,11509054138
64597085,66825,63978339901
64622963,66788,158933472915
64683742,66700,123467088590
64693810,66687,150873905103
64705469,66663,116010143077
64729290,66625,24935632013
64781921,66550,54827116764
64794071,66537,82251345677
64811145,66512,93872820777
64864082,66437,163587182391
64884977,66400,73758056714
65082386,66112,26229905588
65103595,66075,8924287513
65158683,66000,81137628389
65204534,65937,112794249815
65212038,65925,116603646590
65226257,65900,63353375826
65298666,65800,132868984352
65450697,65575,59404783701
65581768,65387,43383642076
65645544,65300,148638878178
65662134,65275,136581932815
65692433,65225,50254051301
65702616,65213,152994013865
65770713,65113,102872669539
65816977,65050,97153560377
65819243,65050,139486766003
65835922,65025,122323385365
65882908,64950,17941421850
66000379,64788,155394411740
66061605,64700,83857958102
66077475,64675,50546332776
66084819,64663,45275076188
66129317,64600,28511804301
66131119,64600,60547389276
66158340,64563,148191842015
66201141,64500,53747356989
66274609,64400,107372176727
66281442,64388,141770676415
66347829,64300,160079372615
66364226,64275,138518110753
66426042,64187,107450547415
66427278,64187,153211807803
66430050,64175,45674988926
66456000,64138,64565660201
66549285,64012,95727556302
66588117,63950,27337777988
66615664,63913,97770524164
66751322,63725,83361679177
66820487,63625,48489645213
66908772,63500,31946021363
66959002,63437,82561701977
67006581,63363,14726635175
67079907,63263,74210439026
67089804,63250,56526638189
67110507,63225,106870656377
67264618,63012,89764316102
67296019,62963,85717446964
67303817,62950,20506011225
67357313,62875,10526461525
67366779,62863,38541376888
67403087,62813,71986331976
67430062,62775,36940590988
67481641,62712,155146865403
67485668,62700,67880331139
67803847,62263,132984911052
67975907,62025,50093495376
67993057,62000,28937260176
68099431,61862,103159082077
68139048,61800,23939552238
68184285,61738,34233068038
68248565,61650,27370856451
68277850,61613,116975385327
68316326,61562,25735523138
68316591,61562,35341700101
68366193,61488,4120237350
68377618,61475,39954542576
68427114,61412,43345386226
68450359,61375,29737626551
68669564,61075,32413300613
68744285,60975,52148469538
68751626,60963,36457773888
68874397,60800,79997834314
68891559,60775,59351470426
68922665,60737,75420162389
69009101,60613,43741039888
69173302,60388,6595287200
69346038,60162,87075077577
69420364,60062,132617260815
69545408,59887,915540313
69619434,59787,12167056613
69621085,59787,71589406439
69699239,59675,47347262013
69699548,59675,52948350101
69883081,59425,45599743851
69995241,59275,80873107027
70005207,59262,20928830113
70016252,59250,127382937065
70070894,59175,113775759727
70267808,58900,35380748488
70282119,58887,90564354177
70352119,58788,127297001527
70357678,58787,156642294703
70405845,58713,69738952201
70408939,58712,13119090763
70475947,58625,138588960690
70586804,58463,5720854675
70587506,58463,32599838263
70599249,58450,64155229276
70649438,58387,111373892115
70741777,58262,136051082578
70742163,58262,149779406428
70841496,58125,144990244065
70920862,58012,33738166151
70924761,58000,4482337550
70999710,57900,20129768225
71082908,57788,88964577814
71195047,57637,41101362051
71209811,57613,79035627951
71267272,57537,6521733888
71354534,57413,31338952488
71405697,57350,121780818227
71456645,57275,58551036639
71641583,57025,129156242290
71653157,57000,15926877138
71699436,56938,85462027539
71723009,56912,118015596590
71763757,56850,60953141639
71980789,56550,82282099427
72034778,56475,81762687814
72146446,56325,160199460853
72147743,56313,39341957863
72229302,56200,42242740226
72251152,56175,112975035265
72253620,56175,159398330303
72326971,56063,62551441451
72358151,56025,102572169227
72374455,56000,72958124301
72374552,56000,74596483101
72456758,55887,49308434676
72508809,55812,21157850263
72565227,55737,138338802153
72691278,55550,12924407125
72741745,55487,106572820977
72785152,55425,123582750240
72792900,55412,44146613651
72888714,55275,73128726601
72916031,55237,13635177363
72937301,55212,150594145778
72959229,55175,70995269326
73073071,55013,139390067165
73112771,54962,159418733528
73157474,54888,17728444975
73157816,54888,30802954963
73205135,54825,84592463989
73225840,54800,142589213490
73250966,54762,74556669314
73277238,54725,123382113052
73296119,54700,148991084265
73326030,54650,60453450201
73476731,54437,62834919089
73608195,54250,152068553890
73623735,54225,125438352165
73744912,54050,134722718140
73774441,54000,36520825188
73792099,53975,42061504451
73902548,53813,75308506226
73923854,53787,76962107539
73972536,53713,131475434452
73985558,53700,149576118240
74037895,53613,11353425600
74232222,53337,146105761778
74354984,53150,84963693314
74391510,53100,149791291690
74396361,53088,162598688828
74400715,53075,1052672638
74440922,53025,133784805940
74455808,53000,92964887452
74489173,52950,83428433027
74500229,52937,105015191752
74531972,52887,26537567888
74545896,52863,80160292801
74578199,52813,54920730826
74600915,52787,136985179428
74655904,52700,100169165052
74660959,52688,75820709751
74675472,52663,2885322175
74801680,52475,34024221651
75210783,51850,65755181239
75246241,51800,124180631902
75358821,51625,121727747465
75396522,51563,145863278365
75425283,51513,4920249900
75531033,51350,55973647101
75544172,51325,2522098063
75581394,51275,112173819265
75622019,51212,96165563877
75660307,51150,108726588190
75672472,51125,34454947188
75681098,51113,100970251189
75859294,50837,84161492227
75921621,50737,89148347027
75954354,50687,158866287803
75990273,50625,92577904614
76117009,50425,141788298153
76196138,50288,78850035326
76309759,50112,155499201828
76322296,50087,41881251501
76349642,50038,66553314601
76380392,49988,85762954489
76405549,49950,99444304964
76416757,49925,15003323650
76576027,49663,44945877438
76760231,49362,78559819939
76767671,49350,120835823390
76796474,49300,97588616289
77116961,48750,47453002188
77151130,48700,164198754203
77231788,48550,34540317476
77491975,48100,136185719303
77565564,47963,101543274864
77569670,47962,131385081740
77587198,47925,56950513789
77631562,47850,114404832527
77900543,47362,55350343939
77996826,47187,117779948665
78022683,47137,67411258489
78150497,46900,125781437840
78166781,46863,77760117101
78254522,46700,60151507426
78279740,46650,21645249275
78297456,46625,140187651265
78318595,46575,14028225188
78439969,46350,126899875440
78551459,46137,158596201128
78598945,46038,164429751728
78662117,45913,101730993039
78713583,45813,153794226765
78756613,45725,53312655963
78781709,45675,46545692651
78823132,45600,137785812903
78933644,45375,115462329327
78958533,45325,122581056365
79061918,45112,51163190626
79068632,45100,124048559702
79142850,44938,49105655013
79195205,44837,116176825565
79215371,44788,82542627764
79291263,44625,1720723763
79396258,44412,154359523628
79440142,44312,3319900013
79535081,44112,144011387403
79535928,44100,14529032913
79550378,44075,99448304827
79572197,44025,65126336364
79648703,43862,95366008852
79772403,43587,103148104377
79800783,43525,157007242403
79854193,43400,115377392315
79985337,43100,126583768377
80034395,42987,150923214003
80276160,42412,137195156203
80311042,42325,110574117790
80391997,42125,90161859502
80509542,41837,119870413965
80579494,41662,146559404903
80610958,41575,40144463888
80612045,41575,75356416514
80655519,41463,105772482239
80717411,41312,160718618528
80965491,40650,40030397263
81078061,40350,124980410627
81208116,39987,9062750613
81329153,39638,24134836225
81340723,39612,86563086452
81411615,39400,56150921864
81416488,39388,156197126940
81454081,39275,49745756688
81516582,39088,71356344126
81524242,39063,17070232325
81597679,38850,147723274865
81598544,38838,37666628188
81668835,38625,86857715627
81763101,38325,46818777126
82024135,37475,88304465927
82030339,37450,36310009513
82032025,37450,110581707577
82091950,37238,7916943850
82426135,36037,152988139428
82527562,35637,18214189588
82605820,35325,96008649952
82751350,34725,146347041553
82797594,34525,120036419302
82884290,34138,56736075001
82895338,34088,21728954650
82973795,33738,146591407440
83121185,33050,142917876178
83136193,32975,120979846115
83141830,32950,153293585815
83179984,32750,13727423375
83195242,32675,25175624888
83197542,32663,23337417225
83320024,32025,9724032600
83331051,31975,129189682365
83400438,31575,52539214951
83410284,31525,147392071015
83467308,31175,67355254864
83554551,30625,59745731151
83571363,30513,57114493876
83583071,30438,114301450827
83630404,30125,4738506725
83757366,29275,156995467703
83787525,29062,48947693801
83799579,28975,64165194989
84022769,26888,130584904377
84093538,24587,100590371377
